City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
16,Victoria,HK,76.32,light rain,22.2855,114.1577,Mini Hotel Central
20,Muisne,EC,75.31,broken clouds,0.6,-80.0333,Quinta Samay
25,Banda Aceh,ID,79.16,overcast clouds,5.5577,95.3222,Sulthan Hotel International
26,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Ponta Do Sol,PT,81.72,overcast clouds,32.6667,-17.1,Hotel do Campo
32,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Vanimo,PG,80.24,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Bredasdorp,ZA,75.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
39,Calamar,CO,84.15,overcast clouds,10.2511,-74.9146,Hostal Katyalex
40,Atuona,PF,76.91,few clouds,-9.8,-139.0333,Villa Enata
52,Ayame,CI,85.66,moderate rain,5.6083,-3.1563,Hotel Bossan
63,Mackay,AU,76.05,clear sky,-21.15,149.2,International Lodge Motel
65,Garowe,SO,85.44,overcast clouds,8.4054,48.4845,Curubo Hotel
67,Caravelas,BR,83.35,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
69,Mitsamiouli,KM,79.05,scattered clouds,-11.3847,43.2844,Foyer ADM
70,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
83,Bundaberg,AU,77.22,broken clouds,-24.85,152.35,Takalvan Motel
85,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
90,Bengkulu,ID,79.2,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
94,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
104,Vaitape,PF,77.67,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
106,Sao Filipe,CV,80.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
108,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
109,Zamboanga,PH,80.38,overcast clouds,6.9103,122.0739,Two Seasons Executive Suites
110,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
116,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
121,Matara,LK,77.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
123,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
127,San Policarpo,PH,80.89,overcast clouds,12.1791,125.5072,Agapita M. Nicart
128,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,Piacabucu,BR,83.61,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
150,Faanui,PF,77.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
153,Hambantota,LK,80.33,light rain,6.1241,81.1185,Bungalow 63
161,Bonthe,SL,76.17,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
162,Ngaoundere,CM,77.67,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
163,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
165,Tabou,CI,81.25,moderate rain,4.423,-7.3528,hotêl doufoulougou
166,Harper,LR,81.23,light rain,4.375,-7.7169,Screensaver
169,Bani,DO,84.74,clear sky,18.2833,-70.3333,Hospedaje Henriquez
176,Todos Santos,MX,75.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
178,Alofi,NU,76.53,overcast clouds,-19.0595,-169.9187,Taloa Heights
183,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
186,Auki,SB,78.17,broken clouds,-8.7676,160.7034,Auki Motel
188,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
189,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
190,Letlhakane,BW,88.05,broken clouds,-21.4167,25.5833,Motswedi Hotel P650
193,Katiola,CI,84.83,light rain,8.1333,-5.1,Auberge Residence Yebin
201,Petatlan,MX,76.8,clear sky,17.5167,-101.2667,Hotel California Petatlán
204,Saldanha,ZA,75.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
205,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
209,Kalmunai,LK,80.22,broken clouds,7.4167,81.8167,VS Villa
210,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
221,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
222,Cocobeach,GA,84.13,light rain,1.0002,9.5823,Hotel Esperance
228,Ibra,OM,84.61,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
236,Celestun,MX,79.3,few clouds,20.8667,-90.4,Posada Lilia
239,Melipilla,CL,82.81,clear sky,-33.7,-71.2167,Hotel Los Troncos
241,San Nicolas,PH,76.78,clear sky,18.1725,120.5953,NORTHVIEW Hotel
245,San Vicente,AR,80.19,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
248,Pangkalanbuun,ID,77.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
253,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
254,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
255,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
265,Kavieng,PG,83.53,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
268,Riyadh,SA,86.14,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
271,Barreirinhas,BR,89.53,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
272,Ambilobe,MG,82.22,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
274,Luwuk,ID,78.31,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
276,Georgetown,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
278,Buin,CL,79.12,clear sky,-33.7333,-70.75,Paihuen
284,George Town,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
289,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
293,Tevaitoa,PF,77.9,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
296,Pyapon,MM,78.39,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
298,San Juan,AR,83.53,clear sky,-31.5375,-68.5364,Hotel Provincial
301,Metro,ID,78.12,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
302,Kanigoro,ID,75.92,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
303,Zamboanguita,PH,80.47,overcast clouds,9.1025,123.1996,Thalatta Dive Resort
304,Contamana,PE,88.09,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
308,Pringsewu,ID,75.78,broken clouds,-5.3582,104.9744,Urban Style by Front One
318,Songea,TZ,82.38,overcast clouds,-10.6833,35.65,mtakuja
321,Batticaloa,LK,80.2,broken clouds,7.7102,81.6924,Grand Star Guest House
325,Mvuma,ZW,86.79,scattered clouds,-19.2792,30.5283,Nyangombe Backpackers
326,Hinatuan,PH,77.65,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
327,Tual,ID,82.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
328,Mayumba,GA,80.06,light rain,-3.432,10.6554,LIKWALE LODGE
330,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
331,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
332,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
344,Palu,ID,75.29,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
345,Namatanai,PG,79.5,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
346,Cabo San Lucas,MX,76.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
353,Tefe,BR,87.91,few clouds,-3.3542,-64.7114,Aracati Hotel
357,Lazaro Cardenas,MX,77.04,clear sky,17.9583,-102.2,quinta antigua
359,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
372,Waw,SS,80.82,light rain,7.7029,27.9953,Universal Gab Hotel
375,Necochea,AR,76.03,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
377,Sur,OM,81.63,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
384,Fare,PF,77.61,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
387,Careiro Da Varzea,BR,88.43,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
388,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
395,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
397,Santiago,CL,78.24,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
413,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
415,Samarai,PG,81.95,scattered clouds,-10.6167,150.6667,Nuli Sapi
421,Posse,BR,88.52,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
423,Bodden Town,KY,81.0,broken clouds,19.2833,-81.25,Will T Place
424,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
425,Langub,PH,80.35,light rain,10.7981,123.5372,Bonista Beach Resort
427,Phangnga,TH,83.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
435,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
